"","juror_id","venireperson","caused","state","defense","juror_not_struck","ammend_5","judgement","inn","bias_no_fair","bias_for_state","bias_a_g_state","bias_for_def","bias_a_g_def","bias_a_g_police","bias_for_police","cant_follow_law","attn","bop_100_percent","phys","agmt","vict","eye_witness","pun","pun_min","pun_max","esl","covid","med","prior_conviction","no_show","work_exempt","child_exempt","age_exempt","jur_age","jur_race","jur_gend","zip_code","four","defendants_name","defendants_race","defendants_gender","cause_number_f_xx_xxxxx","charge","verdict","punishment_number_years","probation","notes","age_group","peremptory_strike","jur_caused","jur_struck","jur_exempt","jur_disqualified","jur_biased","jur_pun","city","income_mean_household_income_hh_cnt","income_mean_nonfamily_income_hh_cnt","income_median_family_income_fam_cnt","income_median_household_income_hh_cnt","i_30","po_box","jur_race_w"
"1",1,"2","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",54,"Hispanic","Female","75172",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","Defense","No","Yes","No","No","No","No","Wilmer",49578,32380,55357,44891,"South","N","Hispanic"
"2",2,"3","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",67,"White","Male","75001",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No","Addison",87472,79604,79551,72512,"North","N","White"
"3",3,"5","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26,"White","Male","75081",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Richardson",93298,67961,89191,77174,"North","N","White"
"4",4,"6","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",27,"Asian","Male","75202",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Dallas",102286,95709,107500,79766,"North","N","Asian"
"5",5,"7","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",30,"Black","Male","75116",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","No","Duncanville",58023,37153,55425,45827,"South","N","Black"
"6",6,"8","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"White","Female","75051",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No","Grand Prairie",52516,31901,49351,42922,"South","N","White"
"7",7,"9","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47,"Black","Female","75146",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","State","No","Yes","No","No","No","No","Lancaster",73844,53871,65596,60701,"South","N","Black"
"8",8,"10","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",56,"Asian","Male","75063",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","State","No","Yes","No","No","No","No","Irving",118452,78615,116579,96053,"North","N","Asian"
"9",9,"11","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",59,"Black","Female","75227",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No","Dallas",53687,40728,45896,43890,"South","N","Black"
"10",10,"12","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"White","Female","75360",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","Yes","No","Dallas",NA,NA,NA,NA,"North","Y","White"
"11",11,"13","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,"Asian","Female","75019",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No","Coppell",153906,83733,140383,118740,"North","N","Asian"
"12",12,"14","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",59,"Black","Female","75210",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No","Dallas",38115,26649,33606,28269,"South","N","Black"
"13",13,"15","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,"White","Female","75206",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No","Dallas",104625,80293,111744,71135,"North","N","White"
"14",14,"16","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,"White","Male","75254",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","No","Dallas",84082,67804,54627,54122,"North","N","White"
"15",15,"17","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43,"White","Female","75089",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","State","No","Yes","No","No","No","No","Rowlett",118354,78840,112590,107111,"North","N","White"
"16",16,"18","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",57,"Black","Female","75149",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","No","Mesquite",60226,41541,55601,50648,"South","N","Black"
"17",17,"19","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",26,"Hispanic","Male","75019",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","Yes","Coppell",153906,83733,140383,118740,"North","N","Hispanic"
"18",18,"20","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",26,"White","Male","75080",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","Yes","Richardson",101254,58591,101964,77736,"North","N","White"
